doc_num,consolidationyear,instrumentNumber,longtitle,modifiedyear,registrationyear,regulationmaker,topic 1,topic 2,overarching topic
doc_157,2018,SOR/87-259,Regulations Respecting Interruption of Postal Services,2010,1987,P.C.,branch closure,postal service,branch closure
doc_161,2018,SOR/98-182,Ontario Hydro Nuclear Facilities Exclusion Regulations (Use of Tobacco),2008,1998,P.C.,nuclear / ontario hydro,no topic,nuclear
doc_162,2018,SOR/97-503,"Les Collections Shan Remission Order, 1997",2008,1997,P.C.,bank / textile,no topic,bank / finance
doc_166,2018,SOR/2007-242,First Nations Assessment Inspection Regulations,2007,2007,P.C.,first nation / property,wastewater system,first nation
doc_167,2018,SOR/89-408,"Order Respecting the Exemption of Lawrence Bay Airways Ltd. from the Application of Subparagraph 72(2)(a)(i) of the National Transportation Act, 1987",2011,1989,,infrastructure,no topic,infrastructure
doc_168,2018,SOR/2007-256,Eligible Financial Contract General Rules (Bankruptcy and Insolvency Act),2007,2007,P.C.,company property,security,corporations
doc_170,2018,SOR/2010-13,"G8 Summit Privileges and Immunities Order, No. 2010-2",2010,2010,P.C.,preparatory meeting,no topic,preparatory meeting
doc_171,2018,SOR/81-552,Order Respecting the Fees to be Charged for Issuing Multiple-Unit Residential Building Construction Starts Certificates,2011,1981,,commodity,no topic,commodities
doc_173,2018,"C.R.C., c. 1600",ORDER AUTHORIZING PERSONS TO RECEIVE A WAR SERVICE GRATUITY ON BEHALF OF INFANTS OR PERSONS OF UNSOUND MIND,NA,NA,,fishery licence,no topic,fishery
doc_174,2018,SOR/2001-401,Minority Investment (Bank Holding Companies) Regulations,2005,2001,P.C.,company property,bank / finance,corporations
doc_175,2018,SOR/2004-222,United Nations Democratic Republic of the Congo Regulations,2006,2004,P.C.,united nation,no topic,united nation
doc_177,2018,SOR/2014-236,Special Economic Measures (South Sudan) Permit Authorization Order,2014,2014,P.C. ,economic measures,no topic,economics
doc_178,2018,SOR/2009-215,CPFTA Rules of Origin for Casual Goods Regulations,2009,2009,P.C.,company property,goods,corporations
doc_179,2018,"C.R.C., c. 786",Order Respecting the Remission of Taxes Paid or Payable Under Division III of Part IX and Under any Other Part of the Excise Tax Act and Customs Duties Paid or Payable Under Section 21 of the Customs Tariff on Samples of Negligible Value,2005,NA,,finance / investment,business,finance
doc_181,2018,SOR/2010-148,Student Employment Programs Participants Regulations,2010,2010,P.C.,employment program,no topic,employment
doc_183,2018,SOR/79-818,Order Granting Authority to Regulate the Marketing of Tree Fruit in British Columbia,2011,1979,P.C.,finance / investment,scientific research,finance
doc_186,2018,SOR/2012-267,Disclosure on Continuance Regulations (Federal Credit Unions),2012,2012,P.C.,bank / finance,no topic,bank / finance
doc_187,2018,SOR/2008-66,Prescribed Deposits (Trust and Loan Companies Without Deposit Insurance) Regulations,2008,2008,P.C.,company property,united nation,corporations
doc_188,2018,SOR/2001-398,Investment Limits (Trust and Loan Companies) Regulations,2006,2001,P.C.,company property,no topic,corporations
doc_190,2018,SOR/92-283,Regulations Prescribing Classes of Persons the Members of which are Resident Canadians,2008,1992,P.C., wood producer,no topic,wood production
doc_191,2018,SOR/51-84,Application of Defence Services Pension Act to Special Force,2005,1951,P.C.,army,no topic,army / defence
doc_192,2018,SOR/92-297,Regulations Permitting Companies to Permit their Subsidiaries to Hold Shares of the Company,2008,1992,P.C.,company property, wood producer,corporations
doc_193,2018,SOR/94-563,Order Respecting the Privileges and Immunities in Canada of the International Civil Aviation Organization (ICAO),2008,1994,P.C.,privilege immunity,no topic, criminal code / immunity
doc_195,2018,SOR/2008-210,Prosecution of Provincial Offences Regulations (Donkin Coal Block),2008,2008,P.C.,offenses,first nation,offenses
doc_196,2018,SOR/2000-376,Regulations Maintaining Certain Reciprocal Transfer Agreements,2008,2000,T.B.,united nation,no topic,united nation
doc_198,2018,SOR/2001-171,Selected Listed Financial Institutions Attribution Method (GST/HST) Regulations,2006,2001,P.C.,finance / investment,no topic,finance
doc_199,2018,SOR/2011-90,Release and Environmental Emergency Notification Regulations,2011,2011,P.C.,environment / migratory bird,no topic,environment
doc_202,2018,SOR/96-40,Regulations Respecting Ships’ Stores,2005,1996,P.C.,tobacco,no topic,tobacco
doc_205,2018,SOR/96-68,Regulations Prescribing Persons and Organizations,2008,1996,P.C.,tobacco,no topic,tobacco
doc_207,2018,SOR/2003-289,"Federal Halocarbon Regulations, 2003",2009,2003,P.C.,chemicals,no topic,chemicals
doc_209,2018,SOR/97-107,General Export Permit No. 12 — United States Origin Goods,2005,1997,,airport / tariff,export,airport / aircrafts
doc_210,2018,SOR/91-75,Order Authorizing Petro-Canada Limited and its Wholly-Owned Subsidiaries to Undertake Certain Transactions During 1991,2006,1990,P.C.,finance / investment,subsidiary,finance
doc_211,2018,SOR/93-523,Regulations Respecting Zoning at Coppermine Airport,2011,1993,P.C.,airport / tariff,airport,airport / aircrafts
doc_214,2018,SOR/2007-134,Public Opinion Research Contract Regulations,2007,2007,P.C.,interest rate,scientific research,interest rate
doc_216,2018,"C.R.C., c. 221","Order Providing for the Fixing, Imposing and Collecting of Levies from Certain Turkey Producers in Ontario",2005,NA,,commodity,commodity,commodities
doc_217,2018,SOR/78-148,Special Voting Rules,2005,1978,,employer,no topic,employment
doc_218,2018,SOR/90-379,Order Respecting the Accelerated Reduction or Removal of Certain Customs Duties Under the Customs Tariff as a Consequence of Concessions Granted Pursuant to the Canada-United States Free Trade Agreement,2010,1990,P.C.,airport / tariff,no topic,airport / aircrafts
doc_219,2018,"C.R.C., c. 209",Regulations Respecting the Pricing in Interprovincial and Export Trade of Greenhouse Vegetables Produced in Ontario,2005,NA,,bank / finance,no topic,bank / finance
doc_221,2018,SOR/98-86,"Outerwear Greige Fabrics Remission Order, 1998",2005,1997,P.C.,fashion / textile,no topic,apparel / textile
doc_222,2018,SOR/90-351,Regulations Respecting the Management of Contaminated Fisheries,2006,1990,P.C.,fishery licence,no topic,fishery
doc_224,2018,SOR/2017-108,"Designation of Regulatory Provisions for Purposes of Enforcement (Migratory Birds Convention Act, 1994) Regulations",2017,2017,P.C.,environment / migratory bird,no topic,environment
doc_226,2018,SOR/2006-319,Prospectus (Cooperative Credit Associations) Regulations,2007,2006,P.C.,security,bank / finance,security
doc_227,2018,SOR/2016-70,Joint Notice Specifying the Prohibition Period For Certain Activities on Georges Bank,2016,2016,,finance / investment,petroleum,finance
doc_228,2018,SOR/98-90,"Outerwear Fabrics Remission Order, 1998",2005,1997,P.C.,fashion / textile,no topic,apparel / textile
doc_229,2018,SOR/2002-11,"Order Authorizing Federal Employees to Acquire Interests in Certain Lands in the Northwest Territories (Order No. 05, 2001)",2008,2001,P.C.,tobacco,no topic,tobacco
doc_231,2018,SOR/2005-30,Secure Electronic Signature Regulations,2005,2005,P.C.,electronic document / signature,no topic,electronic document
doc_232,2018,SOR/2003-274,Chicken Farmers of Canada Delegation of Authority Order,2008,2003,P.C.,finance / investment,poultry / food,finance
doc_234,2018,"C.R.C., c. 237",Regulations Respecting the Directed Sales Flow in Interprovincial and Export Trade of Vegetable Produced in Prince Edward Island,2005,NA,,finance / investment,food / agriculture,finance
doc_236,2018,SOR/95-558,Regulations Respecting Zoning at Greenwood Airport,2011,1995,P.C.,airport / tariff,employer,airport / aircrafts
doc_237,2018,SOR/91-168,Order Prescribing the Fee for Processing Applications Submitted to the Canadian Heraldic Authority for the Grant of Coats of Arms,2008,1991,,finance / investment,goods,finance
doc_239,2018,SOR/2018-75,Nova Scotia Hog Marketing Levies (Interprovincial and Export Trade) Order,2018,2018,,levy / marketing,no topic,levy / marketing
doc_241,2018,SOR/87-663,"Order Respecting the Fixing and Imposing of Levies on, and the Collecting of Levies From, Producers of Wood in the Labelle Area in the Province of Quebec, With Respect to the Marketing of Wood in Interprovincial and Export Trade",2011,1987,, wood producer,no topic,wood production
doc_242,2018,SOR/98-47,Tariff Item Nos. 9971.00.00 and 9992.00.00 Accounting Regulations,NA,1997,P.C.,environment / migratory bird,no topic,environment
doc_243,2018,SOR/96-470,Employment Equity Regulations,2005,1996,P.C.,employer,no topic,employment
doc_244,2018,SOR/88-590,Order Varying CTC Abandonment Orders Respecting the Avonlea Subdivision Between Parry and Avonlea,2005,1988,P.C.,refinery,no topic,energy / pipeline / oil
doc_245,2018,SOR/83-253,Regulations Respecting Zoning at Abbotsford Airport,2011,1983,P.C.,airport / tariff,no topic,airport / aircrafts
doc_246,2018,SOR/2011-86,Fort William First Nation Sawmill Regulations,2011,2011,P.C.,first nation,no topic,first nation
doc_247,2018,SOR/2008-212,Order Designating Manitoba for the Purposes of the Criminal Interest Rate Provisions of the Criminal Code,2008,2008,P.C.,finance / investment,army / defence,finance
doc_249,2018,SOR/83-509,Regulations Respectingt the Insurance of Loans Made to Cheticamp/Grand Etang Fishermen’s Co-Operative Society Limited,2006,1983,P.C.,company property,finance / investment,corporations
doc_250,2018,SOR/96-42,"Regulations Respecting the Refund and Drawback of Duties Paid in Respect of Imported Goods Subsequently Exported, in Respect of Imported Goods Processed in Canada and Subsequently Exported and in Respect of Imported Goods Used, Consumed or Expended in the Processing in Canada of Goods Subsequently Exported",2009,1996,P.C.,company property,no topic,corporations
doc_251,2018,SOR/2011-167,Special Economic Measures (Democratic People’s Republic of Korea) Regulations,2011,2011,P.C.,finance / investment,economic measures,finance
doc_252,2018,SOR/99-224,Interest Payable on Certain Deposits By-Law,2006,1999,,finance / investment,interest rate,finance
doc_253,2018,SOR/90-151,Order Authorizing the Canadian National Railway Company to Procure the Incorporation of Corporation de Chauffage Urbain de Montréal (CCUM) and the Subsequent Sale of 7O% of the Shares Thereof to Compagnie Internationale Financière et Industrielle du Québec CIFIQ Inc.,2008,1990,P.C.,insurance,no topic,insurance
doc_259,2018,SOR/2008-58,Corporate Interrelationships (Cooperative Credit Associations) Regulations,2008,2008,P.C.,finance / investment,cooperative credit,finance
doc_261,2018,SOR/2002-265,Support Orders and Support Provisions (Retail Associations) Regulations,2007,2002,P.C.,finance / investment,employment program,finance
doc_262,2018,SOR/2016-133,National Energy Board Pipeline Damage Prevention Regulations – Obligations of Pipeline Companies,2016,2016,P.C.,pipeline,no topic,energy / pipeline / oil
doc_263,2018,SOR/2008-64,Notices of Uninsured Deposits Regulations (Trust and Loan Companies),2008,2008,P.C.,company property,bank / finance,corporations
doc_264,2018,SOR/2012-265,Prospectus (Federal Credit Unions) Regulations,2012,2012,P.C.,security,no topic,security
doc_265,2018,SOR/96-114,"Regulations Respecting the Issuance of Certificates of Fitness for Offshore Oil and Gas Production, Drilling, Accommodation and Diving Installations",2006,1996,P.C.,offshore drilling,no topic,energy / pipeline / oil
doc_266,2018,SOR/92-530,Regulations Defining the Regulatory Capital of a Company,2008,1992,P.C.,company property,insurance,corporations
doc_267,2018,"C.R.C., c. 960",Regulations Respecting Waste Disposal in Indian Reserves,2005,NA,,land permit / garbage dump,no topic,estate / land
doc_268,2018,SOR/92-256,Regulations Prescribing the Maximum Fee that a Company May Charge for a Security Certificate Issued in Respect of a Transfer,2008,1992,P.C.,company property,transfer company,corporations
doc_269,2018,SOR/2001-403,Minority Investment (Cooperative Credit Associations) Regulations,2008,2001,P.C.,company property,bank / finance,corporations
doc_271,2018,SOR/97-449,Experts on Missions for the Organization for the Prohibition of Chemical Weapons Privileges and Immunities in Canada Order,2008,1997,P.C.,goods,no topic,commodities
doc_272,2018,SOR/2014-220,CHFTA Sugar Aggregate Quantity Limit Order,2014,2014,P.C.,airport / tariff,trade,airport / aircrafts
doc_274,2018,SOR/2001-365,Aggregate Financial Exposure (Trust and Loan Companies) Regulations,2008,2001,P.C.,finance / investment,company property,finance
doc_275,2018,"C.R.C., c. 948",Regulations Respecting the Disposal of Goods and Chattels Ordered Forfeited Pursuant to Subsection 103(3) of the Indian Act,2005,NA,, wood producer,no topic,wood production
doc_276,2018,"C.R.C., c. 790","Order Respecting the Remission of Duties, Including the Tax Imposed Under Division III of Part IX of the Excise Tax Act, Payable on Settlers’ Effects Acquired Abroad with Blocked Currencies by Settlers who Immigrate into Canada",2006,NA,,finance / investment,united nation,finance
doc_278,2018,SOR/87-449,Regulations Respecting Zoning at Stephenville Airport,2011,1987,P.C.,finance / investment,airport / tariff,finance
doc_279,2018,SOR/2009-217,CPFTA Sugar Aggregate Quantity Limit Order,2009,2009,P.C.,airport / tariff,subsidiary,airport / aircrafts
doc_280,2018,SOR/2014-234,Order Approving the Proposed Regulations Repealing the Laurentian Pilotage Authority District No. 3 Regulations,2014,2014,,pilotage,no topic,pilotage
doc_281,2018,SOR/2004-220,Organizations in the Province of British Columbia Exemption Order,NA,2004,C.P.,marchandises,no topic,commodities
doc_284,2018,SOR/99-350,Organization of American States Privileges and Immunities in Canada Order,2008,1999,P.C.,privilege immunity,no topic, criminal code / immunity
doc_285,2018,SOR/2002-339,Shared Premises Regulations (Banks),2005,2002,P.C.,bank / finance,bank / finance,bank / finance
doc_286,2018,SOR/99-422,"Order Authorizing Federal Employees to Acquire Interests in Certain Lands in the Northwest Territories (Order No. 3, 1999)",2006,1999,P.C.,bank / finance,no topic,bank / finance
